0,Station Name,Station No.,Station ID,Station Type,Station Easting,Station Northing
255,Newton Stewart,133171,36354,Flow,241266.0007,565329.9995
256,Norham,9514,38496,Flow,389832.0008,647664.9994
257,Ormiston Mill,15007,36848,Flow,370232.0008,628013.9994
258,Overlee,133118,36190,Flow,257963.0007,657500.9999
259,Oxgang,133119,36194,Flow,266536.0008,673436.9996
260,Park,234291,37448,Flow,379739.0008,798317
261,Parkhill,234292,37452,Flow,388770.0008,814190.0001
262,Peebles,14979,36782,Flow,325816.0008,639970.0002
263,Philiphaugh,14985,36796,Flow,343928.0008,627702.9995
264,Pitcaple,234293,37456,Flow,372104.0008,825981.0003
265,Pitlochry,14963,36716,Flow,294718.0008,757417.0001
266,Pitnacree,14935,36622,Flow,292403.0007,753410.9996
267,Pluscarden Abbey,486057,38110,Flow,314443.0008,857510.0004
268,Polhollick,234294,37460,Flow,334395.0008,796530.9998
269,Polloch,234295,37466,Flow,179208.0006,768811.9996
270,Polmonthill,14884,36446,Flow,295194.0008,679656.9996
271,Poolewe,234296,37472,Flow,186002.0007,880330.0003
272,Prosen Bridge,14915,36546,Flow,339574.0008,758548.9999
273,Quinloch Bridge,517413,38278,Flow,251969.0007,682140.0003
274,Redcraig,234298,37480,Flow,351934.0008,837439.9995
275,Redhall,133175,36358,Flow,307718.0007,586861.9995
276,Redlees,133122,36198,Flow,267959.0008,660439
277,Renagour Bridge,554836,38410,Flow,249958.0007,700888.0001
278,Rhidorroch,356990,37888,Flow,215423.0007,895358.0001
279,Robstone,133123,36202,Flow,221670.0007,599664.9999
280,Rosehall,234300,37484,Flow,247176.0007,902133.0007
281,Rowanburnfoot,133176,36362,Flow,341469.0008,575960.9995
282,Rusko,133177,36366,Flow,259198.0007,558997.9993
283,Sgodachail,234305,37488,Flow,249119.0007,892160.0003
284,Shenachie,234306,37494,Flow,282548.0007,833573.0001
285,Sheriffmills,234307,37498,Flow,319402.0008,862632.0007
286,Shewalton,133125,36212,Flow,234524.0007,636853.0002
287,Shielfoot,234310,37502,Flow,166586.0006,770178.0002
288,Shiplaw,14975,36770,Flow,324274.0008,648944.9995
