0,Station Name,Station No.,Station ID,Station Type,Station Easting,Station Northing
308,Ness-side,234287,37434,Level,264507.0007,842726.0004
309,New Kelso,234289,37438,Level,194186.0006,842884.9998
310,Newcastleton,133170,36350,Level,348309.0008,587209.9996
311,Newhall Bridge,234290,37444,Level,270225.0007,865186.9998
312,Newliston,14882,36438,Level,311393.0007,673123.9998
313,Newmilns,133117,36186,Level,253252.0007,637187.9999
314,Newton Bridge,14953,36684,Level,289228.0008,731341.0005
315,Newton Stewart,133171,36354,Level,241266.0007,565329.9995
316,Norham,9514,38496,Level,389832.0008,647664.9994
317,Nungate,14909,36528,Level,351909.0008,673712.9995
318,Ormiston Mill,15007,36848,Level,370232.0008,628013.9994
319,Overlee,133118,36190,Level,257963.0007,657500.9999
320,Oxgang,133119,36194,Level,266536.0008,673436.9996
321,Park,234291,37448,Level,379739.0008,798317
322,Parkhill,234292,37452,Level,388770.0008,814190.0001
323,Peebles,14979,36782,Level,325816.0008,639970.0002
324,Perth,10048,35500,Level,311605.0008,725331.9998
325,Peter s Bridge,336365,37746,Level,254940.0007,859084.9996
326,Philiphaugh,14985,36796,Level,343928.0008,627702.9995
327,Pitcaple,234293,37456,Level,372104.0008,825981.0003
328,Pitlochry,14963,36716,Level,294718.0008,757417.0001
329,Pitnacree,14935,36622,Level,292403.0007,753410.9996
330,Pluscarden Abbey,486057,38110,Level,314443.0008,857510.0004
331,Polhollick,234294,37460,Level,334395.0008,796530.9998
332,Polloch,234295,37466,Level,179208.0006,768811.9996
333,Polmonthill,14884,36446,Level,295194.0008,679656.9996
334,Poolewe,234296,37472,Level,186002.0007,880330.0003
335,Prosen Bridge,14915,36546,Level,339574.0008,758548.9999
336,Quinloch Bridge,517413,38278,Level,251969.0007,682140.0003
337,Red Bridge,234297,37476,Level,250427.0007,843226.9996
338,Redcraig,234298,37480,Level,351934.0008,837439.9995
339,Redhall,133175,36358,Level,307718.0007,586861.9995
340,Redlees,133122,36198,Level,267959.0008,660439
341,Renagour Bridge,554836,38410,Level,249958.0007,700888.0001
342,Rhidorroch,356990,37888,Level,215423.0007,895358.0001
343,Robstone,133123,36202,Level,221670.0007,599664.9999
344,Rosehall,234300,37484,Level,247176.0007,902133.0007
345,Ross Priory,133124,36206,Level,240827.0007,687362.9995
346,Rowanburnfoot,133176,36362,Level,341469.0008,575960.9995
347,Royal Brackla Lade,581105,38472,Level,287132.0008,853262.0006
348,Rusko,133177,36366,Level,259198.0007,558997.9993
349,Sgodachail,234305,37488,Level,249119.0007,892160.0003
350,Shenachie,234306,37494,Level,282548.0007,833573.0001
351,Sheriffmills,234307,37498,Level,319402.0008,862632.0007
352,Shewalton,133125,36212,Level,234524.0007,636853.0002
353,Shielfoot,234310,37502,Level,166586.0006,770178.0002
354,Shiplaw,14975,36770,Level,324274.0008,648944.9995
355,Sills of Clyde,133126,36216,Level,292837.0007,642385.9998
356,Skeabost,234313,37506,Level,141496.0006,848660.9999
357,Spey Dam,234315,37514,Level,258224.0007,793545.9996
358,Spiers Bridge,133128,36220,Level,254539.0007,658950.0003
359,Spilmersford,14871,36412,Level,345618.0008,668891.0004
360,Sprouston,15012,36854,Level,375172.0008,635341.0004
361,St Michaels,14930,36608,Level,344033.0008,722381.0002
362,Sterling Mills Gauging Station,532968,38332,Level,292071.0008,696410.0003
363,Stobs Castle,345032,37830,Level,350644.0008,610034.9997
364,Strathmiglo,14931,36612,Level,322508.0008,710162.9998
365,Strathpeffer,234316,37520,Level,249292.0007,858687.9998
366,Strathy Bridge,234319,37524,Level,283584.0007,965144.9998
367,Struy,234321,37530,Level,239034.0007,840439.0002
368,Tannadice,14918,36560,Level,347584.0008,757795
369,Tarroul,234324,37534,Level,326202.0008,954915.0001
370,Teviothead,14999,36826,Level,340703.0008,605754.0001
371,Tromie Bridge,234327,37542,Level,278926.0008,799628.9998
372,Tulliford Mill,133130,36224,Level,289388.0008,640313.9995
373,Turnhouse,14883,36442,Level,316068.0008,673288.9998
374,Unthank Bridge,506153,38218,Level,338583.0008,594778.9996
375,Upper Monachyle,116007,35960,Level,248018.0007,724996.0003
376,Victoria Bridge,133131,36228,Level,227099.0007,742192.9995
377,Wardend Bridge,234331,37552,Level,303930.0007,855845.0002
378,Waterhead,133178,36370,Level,254065.0007,611351.9997
379,Waterside,133133,36232,Level,259565.0007,656201.9996
380,Waterside Perth,369554,37982,Level,350104.0008,778961.0002
381,Weisdale Mill,116008,35966,Level,439470.0008,1153000
382,Wellsies Burn,368491,37946,Level,320498.0008,737506.0001
383,Wellwood,133135,36236,Level,265989.0007,626182.0003
384,Wester Cardean,14944,36642,Level,329426.0008,746595.0003
385,Wheeb Bridge,502896,38192,Level,230226.0008,580527.0003
386,Whitburn,14881,36432,Level,294792.0008,665548.0003
387,White Bridge,355980,37866,Level,239190.0007,830171.9995
388,White Laggan,133180,36374,Level,246790.0007,578119.9995
389,Whitesands,133181,36378,Level,297230.0008,575729.9993
390,Woodend,234333,37558,Level,363482.0008,795613.0002
391,Woodfoot,133182,36382,Level,309990.0008,600900.0003
